Front	Back
Pendapat mereka berbeda tentang rencana itu	Their opinions differ about that plan
Dia memberi tahu saya kemarin	He informed me yesterday
Apakah botol itu sudah penuh?	Is that bottle already full?
Dia masih mengejar mimpinya	He is still pursuing his dream
Aku bermimpi tentang laut tadi malam	I dreamed about the sea last night
Tidak ada rencana yang benar-benar sempurna	There is no plan that is truly perfect
Kami perlu menyesuaikan jadwal besok	We need to adjust tomorrow's schedule
Apakah jadwal rapat sudah berubah?	Has the meeting schedule already changed?
Dia akhirnya menemukan jawabannya	He finally found the answer
Kita makan dulu sebelum berangkat	We eat first before leaving
Bus itu berangkat pukul tujuh	That bus departs at seven
Kereta itu tiba pukul delapan	That train arrives at eight o’clock
Apakah dia benar-benar sudah pergi?	Has he truly already left?
Mengapa cerita itu seaneh ini?	Why is that story this strange?
Kami sedang menyelesaikan masalah besar	We are currently resolving a big problem
Saya lupa namanya tadi pagi	I forgot his or her name this morning
Aku akan selalu sayang padamu	I will always love you
Sayangnya kami belum punya cukup waktu	Unfortunately we still don't have enough time
Malangnya rencanaku gagal hari ini	Unfortunately my plan failed today
Kenapa proyek itu gagal kemarin?	Why did that project fail yesterday?
Ia malang sejak kehilangan pekerjaannya	He has been unfortunate since losing his job
Sejak kapan kamu tinggal di sini?	Since when have you lived here?
Kapan kamu akan kembali ke Jakarta?	When will you return to Jakarta?
Dia belum kehilangan harapan sampai sekarang	He has not lost hope until now
Kami menunggu sampai hujan berhenti	We waited until the rain stopped
Apakah kita akan jumpa lagi besok?	Will we meet again tomorrow?
Apakah masih ada harapan bagi kita?	Is there still hope for us?
Aku belum sarapan pagi ini	I have not eaten breakfast this morning
Kita akan bicara nanti malam	We will talk later tonight
Aku ingin pergi namun hujan turun	I want to go but it is raining
Bus itu berhenti di depan sekolah	That bus stopped in front of the school
Apakah mobilmu parkir di depan rumah?	Is your car parked in front of the house?
Kami akan pindah rumah tahun depan	We will move house next year
Aku belum pulang sejak kemarin	I have not gone home since yesterday
Kapan kamu pindah ke kota ini?	When did you move to this city?
Dia sudah makan sebelum berangkat kerja	He had already eaten before leaving for work
Kenapa dia terlihat aneh hari ini?	Why does he look strange today?
Hari ini terasa sangat panjang	Today feels very long
Teh ini masih hangat sekarang	This tea is still warm now
Apakah kamu masih bekerja di sana?	Do you still work there?
Dia sedang membuat teh hangat	He is making warm tea
Dia tidak marah padamu sekarang	He is not angry with you now
Apakah tiket itu masih murah sekarang?	Is that ticket still cheap now?
Sekarang aku sedang belajar bahasa Indonesia	Now I am studying Indonesian
Kami sudah menunggu sepuluh menit	We have already waited ten minutes
Aku sedang menunggu teman di kafe	I am waiting for a friend at the café
Aku belum minum kopi hari ini	I have not drunk coffee today
Apakah dia belum datang hari ini?	Has he not arrived today yet?
Kemarin aku bertemu teman lamaku	Yesterday I met my old friend
Besok kami akan berangkat lebih awal	Tomorrow we will leave earlier
Apakah rapat dimulai lebih awal?	Did the meeting start earlier?
Pertandingan akan dimulai sebentar lagi	The match will begin very soon
Kami mulai belajar setelah makan	We start studying after eating
Tunggu sebentar, aku sedang menelepon	Wait a moment, I am making a call
Dia akan menelepon ibunya nanti	He will call his mother later
Ibuku belum menelepon sejak kemarin	My mother has not called since yesterday
Apakah kamu pengguna aplikasi ini?	Are you a user of this app?
Ayah sedang membaca koran pagi ini	Father is reading the newspaper this morning
Apakah kamu pernah melihat salju?	Have you ever seen snow?
Saya pernah melihat paus di laut	I have seen a whale in the sea
Kami belum pernah melihat paus liar	We have never seen a wild whale
Anjing itu tidak liar sekarang	That dog is not wild now
Apakah anjingmu akan menunggu di rumah?	Will your dog wait at home?
Dia sedang menunggu bus di halte	He is waiting for the bus at the stop
Mengapa mobil itu tiba-tiba berhenti?	Why did that car suddenly stop?
Lampu tiba-tiba padam saat makan malam	The lights suddenly went out during dinner
Kami akan tiba sebelum matahari terbit	We will arrive before the sun rises
Selesaikan laporan ini sebelum rapat dimulai	Finish this report before the meeting starts
Apakah pekerjaanmu sudah selesai hari ini?	Has your work finished today?
Dia belum mengirim laporan bulanan	He has not sent the monthly report
Pekerjaan ini akan selesai besok	This work will finish tomorrow
Saya tidak akan mengirim pesan lagi	I will not send another message
Apakah kamu sudah menerima paket itu?	Have you received that package?
Paket itu belum tiba di kantor	The package has not arrived at the office
Kami pernah melihat orca di laut	We once saw an orca in the sea
Apakah laut akan tenang malam ini?	Will the sea be calm tonight?
Anak itu tidak tenang saat ujian	That child is not calm during the exam
Ujian akhir akan dimulai besok	The final exam will start tomorrow
Mengapa kamu memulai pekerjaan terlalu pagi?	Why did you start the work too early?
Kopi ini terlalu panas untuk diminum	This coffee is too hot to drink
Air itu tidak boleh diminum sekarang	That water must not be drunk now
Dia jarang meminum kopi malam hari	He rarely drinks coffee at night
Saya jarang menonton televisi sekarang	I rarely watch television now
Dia sering bercerita tentang masa kecilnya	He often talks about his childhood
Kami sedang bercerita tentang perjalanan lama	We are telling stories about an old trip
Apakah masa sulit itu sudah berakhir?	Has that difficult time already ended?
Aku belum melupakan masa kecil	I have not forgotten my childhood
Dia tidak akan melupakan janji itu	He will not forget that promise
Apakah dia pernah melanggar janji?	Has he ever broken a promise?
Aku tidak berjanji datang besok	I did not promise to come tomorrow
Dia sudah melanggar aturan sekolah	He has broken the school rules
Anak itu akan belajar sendiri	That child will study alone
Hari ini aku belum menerima kabar	Today I have not received any news
Apakah kamu akan menerima tawaran itu?	Will you accept that offer?
Kabar itu tidak terdengar benar	That news does not sound right
Dia sedang mempertimbangkan tawaran baru	He is considering a new offer
Apakah suaraku terdengar jelas di sana?	Does my voice sound clear there?
Kami akan mempertimbangkan semua kemungkinan	We will consider all possibilities
Apakah kemungkinan itu pernah dipikirkan sebelumnya?	Was that possibility ever considered before?
Masalah itu belum dipikirkan serius	That problem has not been seriously thought about
Kami tidak bisa membeli semua barang	We cannot buy all the items
Suara itu belum pernah saya dengar	I have never heard that voice
Kenapa pantatmu sakit hari ini?	Why does your butt hurt today?
Apakah penis itu terasa sakit?	Does that penis feel painful?
Dokter memeriksa kesehatan vagina pasien	The doctor examines the patient's vaginal health
Dokter sedang memeriksa hasil tes	The doctor is examining the test results
Kami sedang menjaga kesehatan keluarga	We are maintaining the family's health
Dia tidak menjaga rahasia itu	He does not keep that secret
Saya sudah menerima kabar baik	I have already received good news
Apakah kamu akan terima tawaran itu?	Will you accept that offer?
Dia sedang mengirim pesan penting	He is sending an important message
Apakah gunung berapi itu masih aktif?	Is that volcano still active?
Matanya berapi saat mendengar kabar itu	His eyes burned when hearing that news
Mengapa mata kamu terlihat sangat lelah?	Why do your eyes look very tired?
Mengapa hidungmu terasa sangat dingin?	Why does your nose feel very cold?
Udara pagi ini terasa sangat dingin	The air this morning feels very cold
Aku belum minum susu hari ini	I have not drunk milk today
Mengapa ruangan ini terasa sangat sempit?	Why does this room feel very cramped?
Aku merasa lebih tenang sekarang	I feel calmer now
Jalan ini terlalu sempit untuk mobil	This road is too narrow for cars
Ruangan ini belum dibersihkan hari ini	This room has not been cleaned today
Aku akan membersihkan dapur nanti	I will clean the kitchen later
Dapur itu tidak terlihat bersih	That kitchen does not look clean
Lantai ini belum dibersihkan sejak pagi	This floor has not been cleaned since morning
Mengapa lantai ini terasa licin?	Why does this floor feel slippery?
Jalan itu menjadi licin setelah hujan	That road became slippery after the rain
Aku akan meneleponmu setelah makan	I will call you after eating
Tas itu terlalu besar untukku	That bag is too big for me
Apakah kamar ini terlalu kecil?	Is this room too small?
Aku belum merapikan kamar hari ini	I have not tidied the room today
Gunung Merapi sedang sangat aktif	Mount Merapi is currently very active
Aku sedang merapikan meja kerja	I am tidying the work desk
Meja itu belum dirapikan sejak pagi	That table has not been tidied since morning
Apakah meja ini terlalu berat?	Is this table too heavy?
Mengapa badanmu terasa sangat lelah?	Why does your body feel very tired?
Barang ini bukan milik aku	This item is not mine
Aku tidak memiliki cukup waktu	I do not have enough time
Apakah uang ini cukup untuk makan?	Is this money enough to eat?
Apakah kamu pernah melihat beruang?	Have you ever seen a bear?
Aku hampir terlambat ke kantor	I almost arrived late to the office
